name,cr,type,initiative,armor_class,hit_points,document__title,page_no,link
Angler Worm,4.0,Monstrosity,-2,14,104,Tome of Beasts 2023,20,http://slyflourish.com/5e_monsters/monsters_html/anglerworm-tob1-2023.html
Annelidast,12.0,Monstrosity,0,18,184,Tome of Beasts 2023,21,http://slyflourish.com/5e_monsters/monsters_html/annelidast-tob1-2023.html
Anubian,2.0,Elemental,3,13,44,Tome of Beasts 2023,23,http://slyflourish.com/5e_monsters/monsters_html/anubian-tob1-2023.html
Apau Perape,6.0,Fiend,4,16,95,Tome of Beasts 2023,82,http://slyflourish.com/5e_monsters/monsters_html/apauperape-tob1-2023.html
Arboreal Grappler,4.0,Aberration,3,14,90,Tome of Beasts 2023,24,http://slyflourish.com/5e_monsters/monsters_html/arborealgrappler-tob1-2023.html
Aridni,5.0,Fey,6,15,82,Tome of Beasts 2023,25,http://slyflourish.com/5e_monsters/monsters_html/aridni-tob1-2023.html
Arx,9.0,Fiend,-1,17,171,Tome of Beasts 2023,26,http://slyflourish.com/5e_monsters/monsters_html/arx-tob1-2023.html
Asanbosam,5.0,Aberration,2,14,102,Tome of Beasts 2023,27,http://slyflourish.com/5e_monsters/monsters_html/asanbosam-tob1-2023.html
Ash Drake,4.0,Dragon,2,16,117,Tome of Beasts 2023,139,http://slyflourish.com/5e_monsters/monsters_html/ashdrake-tob1-2023.html
Ashwalker,1.0,Undead,2,12,31,Tome of Beasts 2023,28,http://slyflourish.com/5e_monsters/monsters_html/ashwalker-tob1-2023.html
Automata Devil,10.0,Fiend,4,17,168,Tome of Beasts 2023,92,http://slyflourish.com/5e_monsters/monsters_html/automatadevil-tob1-2023.html
Azza Gremlin,0.25,Fey,4,14,7,Tome of Beasts 2023,222,http://slyflourish.com/5e_monsters/monsters_html/azzagremlin-tob1-2023.html
Baba Yaga’s Horsemen,11.0,Fey,0,20,171,Tome of Beasts 2023,30,http://slyflourish.com/5e_monsters/monsters_html/babayagashorsemen-tob1-2023.html
Bagiennik,3.0,Aberration,4,15,75,Tome of Beasts 2023,31,http://slyflourish.com/5e_monsters/monsters_html/bagiennik-tob1-2023.html
Bandit Lord,4.0,Humanoid,2,16,91,Tome of Beasts 2023,406,http://slyflourish.com/5e_monsters/monsters_html/banditlord-tob1-2023.html
Bastet Temple Cat,1.0,Monstrosity,4,14,40,Tome of Beasts 2023,32,http://slyflourish.com/5e_monsters/monsters_html/bastettemplecat-tob1-2023.html
Bearfolk,3.0,Humanoid,2,14,45,Tome of Beasts 2023,33,http://slyflourish.com/5e_monsters/monsters_html/bearfolk-tob1-2023.html
Bear King,12.0,Fey,0,18,133,Tome of Beasts 2023,172,http://slyflourish.com/5e_monsters/monsters_html/bearking-tob1-2023.html
Beggar Ghoul,0.5,Undead,2,12,13,Tome of Beasts 2023,200,http://slyflourish.com/5e_monsters/monsters_html/beggarghoul-tob1-2023.html
Beheaded Vengeful Spirit,4.0,Undead,2,15,54,Tome of Beasts 2023,384,http://slyflourish.com/5e_monsters/monsters_html/beheadedvengefulspirit-tob1-2023.html
Behtu,2.0,Humanoid,3,14,52,Tome of Beasts 2023,34,http://slyflourish.com/5e_monsters/monsters_html/behtu-tob1-2023.html
Beli,2.0,Fey,3,15,45,Tome of Beasts 2023,35,http://slyflourish.com/5e_monsters/monsters_html/beli-tob1-2023.html
Bereginyas,4.0,Fey,4,14,81,Tome of Beasts 2023,36,http://slyflourish.com/5e_monsters/monsters_html/bereginyas-tob1-2023.html
Berstuc,11.0,Fiend,0,18,157,Tome of Beasts 2023,83,http://slyflourish.com/5e_monsters/monsters_html/berstuc-tob1-2023.html
Black Knight Commander,5.0,Humanoid,0,18,91,Tome of Beasts 2023,406,http://slyflourish.com/5e_monsters/monsters_html/blackknightcommander-tob1-2023.html
Blemmyes,8.0,Monstrosity,2,15,168,Tome of Beasts 2023,37,http://slyflourish.com/5e_monsters/monsters_html/blemmyes-tob1-2023.html
Blood Hag,11.0,Fey,3,16,204,Tome of Beasts 2023,226,http://slyflourish.com/5e_monsters/monsters_html/bloodhag-tob1-2023.html
Boloti,1.0,Fey,5,15,45,Tome of Beasts 2023,38,http://slyflourish.com/5e_monsters/monsters_html/boloti-tob1-2023.html
Bone Collective,8.0,Swarm,5,17,120,Tome of Beasts 2023,39,http://slyflourish.com/5e_monsters/monsters_html/bonecollective-tob1-2023.html
Bone Crab,0.5,Beast,2,13,33,Tome of Beasts 2023,40,http://slyflourish.com/5e_monsters/monsters_html/bonecrab-tob1-2023.html
Bonepowder Ghoul,12.0,Undead,5,18,180,Tome of Beasts 2023,201,http://slyflourish.com/5e_monsters/monsters_html/bonepowderghoul-tob1-2023.html
Bone Swarm,10.0,Swarm,4,17,198,Tome of Beasts 2023,41,http://slyflourish.com/5e_monsters/monsters_html/boneswarm-tob1-2023.html
Bouda,5.0,Fiend,2,15,93,Tome of Beasts 2023,42,http://slyflourish.com/5e_monsters/monsters_html/bouda-tob1-2023.html
Broodiken,1.0,Construct,2,13,44,Tome of Beasts 2023,43,http://slyflourish.com/5e_monsters/monsters_html/broodiken-tob1-2023.html
Bucca,0.5,Fey,3,14,27,Tome of Beasts 2023,44,http://slyflourish.com/5e_monsters/monsters_html/bucca-tob1-2023.html
Bukavac,9.0,Monstrosity,4,16,199,Tome of Beasts 2023,45,http://slyflourish.com/5e_monsters/monsters_html/bukavac-tob1-2023.html
Buraq,11.0,Celestial,4,17,152,Tome of Beasts 2023,46,http://slyflourish.com/5e_monsters/monsters_html/buraq-tob1-2023.html
Burrowling,0.5,Humanoid,3,13,27,Tome of Beasts 2023,47,http://slyflourish.com/5e_monsters/monsters_html/burrowling-tob1-2023.html
Cactid,3.0,Plant,-1,14,76,Tome of Beasts 2023,48,http://slyflourish.com/5e_monsters/monsters_html/cactid-tob1-2023.html
Camazotz,22.0,Fiend,6,19,537,Tome of Beasts 2023,76,http://slyflourish.com/5e_monsters/monsters_html/camazotz-tob1-2023.html
Cambium,14.0,Fiend,3,19,264,Tome of Beasts 2023,49,http://slyflourish.com/5e_monsters/monsters_html/cambium-tob1-2023.html
Carrion Beetle,4.0,Beast,1,15,127,Tome of Beasts 2023,50,http://slyflourish.com/5e_monsters/monsters_html/carrionbeetle-tob1-2023.html
Caustic Charger,7.0,Monstrosity,0,15,133,Tome of Beasts 2023,51,http://slyflourish.com/5e_monsters/monsters_html/causticcharger-tob1-2023.html
Cave Dragon Wyrmling,2.0,Dragon,1,16,52,Tome of Beasts 2023,115,http://slyflourish.com/5e_monsters/monsters_html/cavedragonwyrmling-tob1-2023.html
Cavelight Moss,4.0,Plant,0,15,95,Tome of Beasts 2023,52,http://slyflourish.com/5e_monsters/monsters_html/cavelightmoss-tob1-2023.html
Chained Angel,8.0,Celestial,3,16,121,Tome of Beasts 2023,18,http://slyflourish.com/5e_monsters/monsters_html/chainedangel-tob1-2023.html
Chelicerae,7.0,Aberration,4,16,153,Tome of Beasts 2023,53,http://slyflourish.com/5e_monsters/monsters_html/chelicerae-tob1-2023.html
Chernomoi,1.0,Fey,4,14,32,Tome of Beasts 2023,54,http://slyflourish.com/5e_monsters/monsters_html/chernomoi-tob1-2023.html
Chieftain,5.0,Humanoid,2,16,110,Tome of Beasts 2023,245,http://slyflourish.com/5e_monsters/monsters_html/chieftain-tob1-2023.html
Child of the Briar,1.0,Plant,4,13,50,Tome of Beasts 2023,55,http://slyflourish.com/5e_monsters/monsters_html/childofthebriar-tob1-2023.html
Chort Devil,12.0,Fiend,5,18,187,Tome of Beasts 2023,93,http://slyflourish.com/5e_monsters/monsters_html/chortdevil-tob1-2023.html
Chronalmental,8.0,Elemental,5,17,142,Tome of Beasts 2023,56,http://slyflourish.com/5e_monsters/monsters_html/chronalmental-tob1-2023.html
Cikavak,0.125,Fey,2,12,17,Tome of Beasts 2023,57,http://slyflourish.com/5e_monsters/monsters_html/cikavak-tob1-2023.html
Citrullus,3.0,Plant,-1,15,85,Tome of Beasts 2023,58,http://slyflourish.com/5e_monsters/monsters_html/citrullus-tob1-2023.html
City Watch Captain,4.0,Humanoid,3,15,91,Tome of Beasts 2023,407,http://slyflourish.com/5e_monsters/monsters_html/citywatchcaptain-tob1-2023.html
Clockwork Abomination,5.0,Construct,1,16,76,Tome of Beasts 2023,59,http://slyflourish.com/5e_monsters/monsters_html/clockworkabomination-tob1-2023.html
Clockwork Beetle,0.5,Construct,3,14,20,Tome of Beasts 2023,60,http://slyflourish.com/5e_monsters/monsters_html/clockworkbeetle-tob1-2023.html
Clockwork Beetle Swarm,3.0,Swarm,3,14,52,Tome of Beasts 2023,60,http://slyflourish.com/5e_monsters/monsters_html/clockworkbeetleswarm-tob1-2023.html
Clockwork Hound,2.0,Construct,2,12,71,Tome of Beasts 2023,61,http://slyflourish.com/5e_monsters/monsters_html/clockworkhound-tob1-2023.html
Clockwork Huntsman,3.0,Construct,2,14,99,Tome of Beasts 2023,62,http://slyflourish.com/5e_monsters/monsters_html/clockworkhuntsman-tob1-2023.html
Clockwork Myrmidon,6.0,Construct,2,16,136,Tome of Beasts 2023,63,http://slyflourish.com/5e_monsters/monsters_html/clockworkmyrmidon-tob1-2023.html
Clockwork Watchman,0.5,Construct,1,14,44,Tome of Beasts 2023,64,http://slyflourish.com/5e_monsters/monsters_html/clockworkwatchman-tob1-2023.html
Clockwork Weaving Spider,1.0,Construct,3,15,30,Tome of Beasts 2023,65,http://slyflourish.com/5e_monsters/monsters_html/clockworkweavingspider-tob1-2023.html
Clurichaun,0.25,Fey,1,14,22,Tome of Beasts 2023,66,http://slyflourish.com/5e_monsters/monsters_html/clurichaun-tob1-2023.html
Cobbleswarm,2.0,Swarm,0,15,36,Tome of Beasts 2023,67,http://slyflourish.com/5e_monsters/monsters_html/cobbleswarm-tob1-2023.html
Coral Drake,7.0,Dragon,4,16,127,Tome of Beasts 2023,140,http://slyflourish.com/5e_monsters/monsters_html/coraldrake-tob1-2023.html
Corpse Mound,11.0,Undead,0,16,207,Tome of Beasts 2023,68,http://slyflourish.com/5e_monsters/monsters_html/corpsemound-tob1-2023.html
Corrupted Chieftain,7.0,Giant,-1,17,133,Tome of Beasts 2023,289,http://slyflourish.com/5e_monsters/monsters_html/corruptedchieftain-tob1-2023.html
Corrupted Ushabti,5.0,Undead,2,15,97,Tome of Beasts 2023,375,http://slyflourish.com/5e_monsters/monsters_html/corruptedushabti-tob1-2023.html
Corrupting Ooze,5.0,Ooze,0,12,115,Tome of Beasts 2023,291,http://slyflourish.com/5e_monsters/monsters_html/corruptingooze-tob1-2023.html
Crimson Drake,1.0,Dragon,2,14,45,Tome of Beasts 2023,141,http://slyflourish.com/5e_monsters/monsters_html/crimsondrake-tob1-2023.html
Crystalline Devil,6.0,Fiend,1,15,102,Tome of Beasts 2023,94,http://slyflourish.com/5e_monsters/monsters_html/crystallinedevil-tob1-2023.html
Darakhul,3.0,Undead,4,18,78,Tome of Beasts 2023,202,http://slyflourish.com/5e_monsters/monsters_html/darakhul-tob1-2023.html
Dau,4.0,Fey,4,13,49,Tome of Beasts 2023,69,http://slyflourish.com/5e_monsters/monsters_html/dau-tob1-2023.html
Death Butterfly Swarm,4.0,Swarm,2,15,60,Tome of Beasts 2023,70,http://slyflourish.com/5e_monsters/monsters_html/deathbutterflyswarm-tob1-2023.html
Deathcap Myconid,4.0,Plant,0,15,90,Tome of Beasts 2023,280,http://slyflourish.com/5e_monsters/monsters_html/deathcapmyconid-tob1-2023.html
Deathwisp,7.0,Undead,5,15,82,Tome of Beasts 2023,71,http://slyflourish.com/5e_monsters/monsters_html/deathwisp-tob1-2023.html
Deep Drake,9.0,Dragon,4,17,150,Tome of Beasts 2023,142,http://slyflourish.com/5e_monsters/monsters_html/deepdrake-tob1-2023.html
Deep One,2.0,Humanoid,1,13,71,Tome of Beasts 2023,72,http://slyflourish.com/5e_monsters/monsters_html/deepone-tob1-2023.html
Deep One Archimandrite,8.0,Humanoid,3,15,153,Tome of Beasts 2023,73,http://slyflourish.com/5e_monsters/monsters_html/deeponearchimandrite-tob1-2023.html
Deep One Priest,4.0,Humanoid,2,14,105,Tome of Beasts 2023,72,http://slyflourish.com/5e_monsters/monsters_html/deeponepriest-tob1-2023.html
Degenerate Titan,8.0,Giant,-2,12,161,Tome of Beasts 2023,362,http://slyflourish.com/5e_monsters/monsters_html/degeneratetitan-tob1-2023.html
Desert Giant,9.0,Giant,0,17,175,Tome of Beasts 2023,205,http://slyflourish.com/5e_monsters/monsters_html/desertgiant-tob1-2023.html
Devilbound Gnome,9.0,Humanoid,2,17,104,Tome of Beasts 2023,408,http://slyflourish.com/5e_monsters/monsters_html/devilboundgnome-tob1-2023.html
Dipsa,0.25,Ooze,4,15,27,Tome of Beasts 2023,105,http://slyflourish.com/5e_monsters/monsters_html/dipsa-tob1-2023.html
Dissimortuum,7.0,Undead,0,15,112,Tome of Beasts 2023,106,http://slyflourish.com/5e_monsters/monsters_html/dissimortuum-tob1-2023.html
Dogmole,1.0,Beast,4,14,58,Tome of Beasts 2023,107,http://slyflourish.com/5e_monsters/monsters_html/dogmole-tob1-2023.html
Dogmole Juggernaut,5.0,Monstrosity,2,15,126,Tome of Beasts 2023,107,http://slyflourish.com/5e_monsters/monsters_html/dogmolejuggernaut-tob1-2023.html
Domovoi,4.0,Fey,2,15,93,Tome of Beasts 2023,108,http://slyflourish.com/5e_monsters/monsters_html/domovoi-tob1-2023.html
Doppelrat,2.0,Monstrosity,4,13,45,Tome of Beasts 2023,109,http://slyflourish.com/5e_monsters/monsters_html/doppelrat-tob1-2023.html
Dorreq,4.0,Aberration,4,15,93,Tome of Beasts 2023,110,http://slyflourish.com/5e_monsters/monsters_html/dorreq-tob1-2023.html
Dragon Eel,12.0,Dragon,1,18,195,Tome of Beasts 2023,111,http://slyflourish.com/5e_monsters/monsters_html/dragoneel-tob1-2023.html
Dragonleaf Tree,8.0,Plant,2,16,152,Tome of Beasts 2023,137,http://slyflourish.com/5e_monsters/monsters_html/dragonleaftree-tob1-2023.html
Drakon,5.0,Dragon,4,16,105,Tome of Beasts 2023,147,http://slyflourish.com/5e_monsters/monsters_html/drakon-tob1-2023.html
Dream Eater,5.0,Fiend,4,15,75,Tome of Beasts 2023,148,http://slyflourish.com/5e_monsters/monsters_html/dreameater-tob1-2023.html
Drowned Maiden,5.0,Undead,3,15,90,Tome of Beasts 2023,149,http://slyflourish.com/5e_monsters/monsters_html/drownedmaiden-tob1-2023.html
Duelist,6.0,Humanoid,5,17,117,Tome of Beasts 2023,159,http://slyflourish.com/5e_monsters/monsters_html/duelist-tob1-2023.html
Dullahan,11.0,Fey,4,17,178,Tome of Beasts 2023,151,http://slyflourish.com/5e_monsters/monsters_html/dullahan-tob1-2023.html
Dune Mimic,8.0,Monstrosity,-1,13,168,Tome of Beasts 2023,268,http://slyflourish.com/5e_monsters/monsters_html/dunemimic-tob1-2023.html
Duskthorn Dryad,3.0,Fey,5,17,77,Tome of Beasts 2023,150,http://slyflourish.com/5e_monsters/monsters_html/duskthorndryad-tob1-2023.html
Dust Goblin,0.25,Humanoid,3,14,16,Tome of Beasts 2023,215,http://slyflourish.com/5e_monsters/monsters_html/dustgoblin-tob1-2023.html
Dwarven Ringmage,7.0,Humanoid,2,16,136,Tome of Beasts 2023,409,http://slyflourish.com/5e_monsters/monsters_html/dwarvenringmage-tob1-2023.html
Eala,2.0,Monstrosity,3,15,40,Tome of Beasts 2023,152,http://slyflourish.com/5e_monsters/monsters_html/eala-tob1-2023.html
Eater of Dust,9.0,Aberration,2,17,114,Tome of Beasts 2023,153,http://slyflourish.com/5e_monsters/monsters_html/eaterofdust-tob1-2023.html
Edimmu,4.0,Undead,4,15,75,Tome of Beasts 2023,154,http://slyflourish.com/5e_monsters/monsters_html/edimmu-tob1-2023.html
Eel Hound,2.0,Fey,3,14,77,Tome of Beasts 2023,155,http://slyflourish.com/5e_monsters/monsters_html/eelhound-tob1-2023.html
Einherjar,7.0,Humanoid,3,18,119,Tome of Beasts 2023,156,http://slyflourish.com/5e_monsters/monsters_html/einherjar-tob1-2023.html
Elder Shadow Drake,7.0,Dragon,2,16,114,Tome of Beasts 2023,143,http://slyflourish.com/5e_monsters/monsters_html/eldershadowdrake-tob1-2023.html
Elemental Locus,17.0,Elemental,-4,16,290,Tome of Beasts 2023,157,http://slyflourish.com/5e_monsters/monsters_html/elementallocus-tob1-2023.html
Elvish Veteran Archer,3.0,Humanoid,4,16,66,Tome of Beasts 2023,410,http://slyflourish.com/5e_monsters/monsters_html/elvishveteranarcher-tob1-2023.html
Emerald Eye,1.0,Construct,2,14,54,Tome of Beasts 2023,163,http://slyflourish.com/5e_monsters/monsters_html/emeraldeye-tob1-2023.html
Emerald Order Cult Leader,8.0,Humanoid,0,15,156,Tome of Beasts 2023,410,http://slyflourish.com/5e_monsters/monsters_html/emeraldordercultleader-tob1-2023.html
Empty Cloak,0.5,Construct,2,13,45,Tome of Beasts 2023,164,http://slyflourish.com/5e_monsters/monsters_html/emptycloak-tob1-2023.html
Enchantress,7.0,Humanoid,2,16,123,Tome of Beasts 2023,160,http://slyflourish.com/5e_monsters/monsters_html/enchantress-tob1-2023.html
Eonic Drifter,1.0,Humanoid,2,13,65,Tome of Beasts 2023,165,http://slyflourish.com/5e_monsters/monsters_html/eonicdrifter-tob1-2023.html
Erina,0.25,Humanoid,1,12,22,Tome of Beasts 2023,166,http://slyflourish.com/5e_monsters/monsters_html/erina-tob1-2023.html
Erina Defender,1.0,Humanoid,2,15,44,Tome of Beasts 2023,166,http://slyflourish.com/5e_monsters/monsters_html/erinadefender-tob1-2023.html
Eye Golem,11.0,Construct,0,20,157,Tome of Beasts 2023,216,http://slyflourish.com/5e_monsters/monsters_html/eyegolem-tob1-2023.html
Far Darrig,3.0,Fey,3,14,84,Tome of Beasts 2023,167,http://slyflourish.com/5e_monsters/monsters_html/fardarrig-tob1-2023.html
Fate Eater,6.0,Aberration,1,16,130,Tome of Beasts 2023,168,http://slyflourish.com/5e_monsters/monsters_html/fateeater-tob1-2023.html
Fear Smith,10.0,Fey,4,17,149,Tome of Beasts 2023,169,http://slyflourish.com/5e_monsters/monsters_html/fearsmith-tob1-2023.html
Fellforged,5.0,Construct,1,15,135,Tome of Beasts 2023,170,http://slyflourish.com/5e_monsters/monsters_html/fellforged-tob1-2023.html
Fetal Savant,4.0,Humanoid,1,11,32,Tome of Beasts 2023,88,http://slyflourish.com/5e_monsters/monsters_html/fetalsavant-tob1-2023.html
Fext,6.0,Undead,3,17,77,Tome of Beasts 2023,171,http://slyflourish.com/5e_monsters/monsters_html/fext-tob1-2023.html
Feyward Tree,8.0,Construct,0,17,126,Tome of Beasts 2023,186,http://slyflourish.com/5e_monsters/monsters_html/feywardtree-tob1-2023.html
Fidele Angel,5.0,Celestial,4,16,104,Tome of Beasts 2023,19,http://slyflourish.com/5e_monsters/monsters_html/fideleangel-tob1-2023.html
Firebird,4.0,Celestial,4,16,88,Tome of Beasts 2023,187,http://slyflourish.com/5e_monsters/monsters_html/firebird-tob1-2023.html
Firegeist,2.0,Elemental,4,14,82,Tome of Beasts 2023,188,http://slyflourish.com/5e_monsters/monsters_html/firegeist-tob1-2023.html
Flab Giant,4.0,Giant,-2,14,110,Tome of Beasts 2023,206,http://slyflourish.com/5e_monsters/monsters_html/flabgiant-tob1-2023.html
Flame Dragon Wyrmling,2.0,Dragon,2,17,52,Tome of Beasts 2023,119,http://slyflourish.com/5e_monsters/monsters_html/flamedragonwyrmling-tob1-2023.html
Flutterflesh,12.0,Undead,4,16,187,Tome of Beasts 2023,189,http://slyflourish.com/5e_monsters/monsters_html/flutterflesh-tob1-2023.html
Folk of Leng,2.0,Humanoid,2,14,68,Tome of Beasts 2023,190,http://slyflourish.com/5e_monsters/monsters_html/folkofleng-tob1-2023.html
Forest Hunter,5.0,Humanoid,4,15,104,Tome of Beasts 2023,161,http://slyflourish.com/5e_monsters/monsters_html/foresthunter-tob1-2023.html
Forest Marauder,4.0,Giant,0,15,114,Tome of Beasts 2023,191,http://slyflourish.com/5e_monsters/monsters_html/forestmarauder-tob1-2023.html
Fraughashar,0.5,Fey,2,15,22,Tome of Beasts 2023,192,http://slyflourish.com/5e_monsters/monsters_html/fraughashar-tob1-2023.html
Frostveil,4.0,Plant,5,16,67,Tome of Beasts 2023,193,http://slyflourish.com/5e_monsters/monsters_html/frostveil-tob1-2023.html
Garroter Crab,0.25,Beast,0,13,18,Tome of Beasts 2023,194,http://slyflourish.com/5e_monsters/monsters_html/garrotercrab-tob1-2023.html
Gbahali,6.0,Beast,2,15,126,Tome of Beasts 2023,195,http://slyflourish.com/5e_monsters/monsters_html/gbahali-tob1-2023.html
Gearforged Templar,6.0,Construct,0,18,71,Tome of Beasts 2023,195,http://slyflourish.com/5e_monsters/monsters_html/gearforgedtemplar-tob1-2023.html
Gerridae,1.0,Fey,2,14,76,Tome of Beasts 2023,198,http://slyflourish.com/5e_monsters/monsters_html/gerridae-tob1-2023.html
Ghost Knight,7.0,Undead,2,17,130,Tome of Beasts 2023,199,http://slyflourish.com/5e_monsters/monsters_html/ghostknight-tob1-2023.html
Ghostwalk Spider,9.0,Monstrosity,5,15,119,Tome of Beasts 2023,343,http://slyflourish.com/5e_monsters/monsters_html/ghostwalkspider-tob1-2023.html
Giant Ant,2.0,Beast,2,14,52,Tome of Beasts 2023,22,http://slyflourish.com/5e_monsters/monsters_html/giantant-tob1-2023.html
Giant Ant Queen,5.0,Beast,2,15,119,Tome of Beasts 2023,22,http://slyflourish.com/5e_monsters/monsters_html/giantantqueen-tob1-2023.html
Gilded Devil,7.0,Fiend,2,16,112,Tome of Beasts 2023,95,http://slyflourish.com/5e_monsters/monsters_html/gildeddevil-tob1-2023.html
Glass Gator,1.0,Beast,2,15,45,Tome of Beasts 2023,211,http://slyflourish.com/5e_monsters/monsters_html/glassgator-tob1-2023.html
Gnarljak,6.0,Construct,6,16,88,Tome of Beasts 2023,212,http://slyflourish.com/5e_monsters/monsters_html/gnarljak-tob1-2023.html
Gnoll Havoc Runner,3.0,Humanoid,2,15,58,Tome of Beasts 2023,213,http://slyflourish.com/5e_monsters/monsters_html/gnollhavocrunner-tob1-2023.html
Goat-Man,3.0,Monstrosity,2,14,65,Tome of Beasts 2023,214,http://slyflourish.com/5e_monsters/monsters_html/goat-man-tob1-2023.html
Gray Thirster,2.0,Undead,3,13,52,Tome of Beasts 2023,221,http://slyflourish.com/5e_monsters/monsters_html/graythirster-tob1-2023.html
Greater Death Butterfly Swarm,6.0,Swarm,4,15,84,Tome of Beasts 2023,70,http://slyflourish.com/5e_monsters/monsters_html/greaterdeathbutterflyswarm-tob1-2023.html
Greyfur,3.0,Humanoid,3,13,67,Tome of Beasts 2023,250,http://slyflourish.com/5e_monsters/monsters_html/greyfur-tob1-2023.html
Grim Jester,11.0,Undead,6,18,136,Tome of Beasts 2023,224,http://slyflourish.com/5e_monsters/monsters_html/grimjester-tob1-2023.html
Guardian,4.0,Humanoid,2,15,110,Tome of Beasts 2023,162,http://slyflourish.com/5e_monsters/monsters_html/guardian-tob1-2023.html
Gug,12.0,Giant,0,17,230,Tome of Beasts 2023,225,http://slyflourish.com/5e_monsters/monsters_html/gug-tob1-2023.html
Gypsosphinx,14.0,Monstrosity,2,17,190,Tome of Beasts 2023,339,http://slyflourish.com/5e_monsters/monsters_html/gypsosphinx-tob1-2023.html
Haugbui,13.0,Undead,5,15,153,Tome of Beasts 2023,231,http://slyflourish.com/5e_monsters/monsters_html/haugbui-tob1-2023.html
Herald of Blood,12.0,Fiend,1,15,184,Tome of Beasts 2023,232,http://slyflourish.com/5e_monsters/monsters_html/heraldofblood-tob1-2023.html
Herald of Darkness,7.0,Fiend,2,15,105,Tome of Beasts 2023,233,http://slyflourish.com/5e_monsters/monsters_html/heraldofdarkness-tob1-2023.html
Hoard Golem,12.0,Construct,2,18,161,Tome of Beasts 2023,217,http://slyflourish.com/5e_monsters/monsters_html/hoardgolem-tob1-2023.html
